Episode 107 Start: (0.0, -0.0)
Episode 107 Reward: -1.9819237515891337, Distance Reached: 0.09
Episode 108 Start: (0.0, -0.0)
Episode 108 Reward: -1.4405329145916843, Distance Reached: 0.67
Episode 109 Start: (0.0, -0.0)
Episode 109 Reward: -2.323452003789645, Distance Reached: 0.34
Episode 110 Start: (0.0, -0.0)
Episode 110 Reward: -2.7498103913324785, Distance Reached: 0.37
Episode 111 Start: (0.0, -0.0)
Episode 111 Reward: -1.597020781418419, Distance Reached: 0.49
Episode 112 Start: (0.0, -0.0)
Episode 112 Reward: -1.7941259351719927, Distance Reached: 0.3
Episode 113 Start: (0.0, -0.0)
Episode 113 Reward: -2.4194251537397107, Distance Reached: 0.37
Episode 114 Start: (0.0, -0.0)
Episode 114 Reward: -1.9802465748681766, Distance Reached: 0.09
Episode 115 Start: (0.0, -0.0)
Episode 115 Reward: -1.441818471293136, Distance Reached: 0.91
Episode 116 Start: (0.0, -0.0)
Episode 116 Reward: 1.0894955244775852, Distance Reached: 1.19
Episode 117 Start: (0.0, -0.0)
Episode 117 Reward: -2.491831545280123, Distance Reached: 0.14
Episode 118 Start: (0.0, -0.0)
Episode 118 Reward: 0.6653754203731743, Distance Reached: 1.13
Episode 119 Start: (0.0, -0.0)
Episode 119 Reward: -1.2344028899062178, Distance Reached: 0.8
Episode 120 Start: (0.0, -0.0)
Episode 120 Reward: -2.595795937383715, Distance Reached: 0.64
Episode 121 Start: (0.0, -0.0)
Episode 121 Reward: -2.8971719551045565, Distance Reached: 0.11
Episode 122 Start: (0.0, -0.0)
Episode 122 Reward: -2.14077720242248, Distance Reached: 0.76
Episode 123 Start: (0.0, -0.0)
Episode 123 Reward: -1.8542740930057495, Distance Reached: 0.19
Episode 124 Start: (0.0, -0.0)
Episode 124 Reward: 1.0119094835381652, Distance Reached: 1.29
Episode 125 Start: (0.0, -0.0)
Episode 125 Reward: -1.9229458505568406, Distance Reached: 0.27
Episode 126 Start: (0.0, -0.0)
Episode 126 Reward: 0.5660522171911648, Distance Reached: 1.15
Episode 127 Start: (0.0, -0.0)
Episode 127 Reward: 1.1570159992695266, Distance Reached: 1.32
Episode 128 Start: (0.0, -0.0)
Episode 128 Reward: -2.846710746332709, Distance Reached: 0.23
Episode 129 Start: (0.0, -0.0)
Episode 129 Reward: -1.046384824428419, Distance Reached: 0.98
Episode 130 Start: (0.0, -0.0)
Episode 130 Reward: -2.012969778761474, Distance Reached: 0.98
Episode 131 Start: (0.0, -0.0)
Episode 131 Reward: -2.4683148589611577, Distance Reached: 0.06
Episode 132 Start: (0.0, -0.0)
Episode 132 Reward: -1.588906014285412, Distance Reached: 0.64
Episode 133 Start: (0.0, -0.0)
Episode 133 Reward: -1.9006866517149605, Distance Reached: 0.16
Episode 134 Start: (0.0, -0.0)
Episode 134 Reward: -1.708343763691197, Distance Reached: 0.42
Episode 135 Start: (0.0, -0.0)
Episode 135 Reward: -1.463857557204083, Distance Reached: 0.74
Episode 136 Start: (0.0, -0.0)
Episode 136 Reward: -2.9081377255875136, Distance Reached: 0.21
Episode 137 Start: (0.0, -0.0)
Episode 137 Reward: -1.7843579802247427, Distance Reached: 0.33
Episode 138 Start: (0.0, -0.0)
Episode 138 Reward: -1.905197373693387, Distance Reached: 0.21
Episode 139 Start: (0.0, -0.0)
Episode 139 Reward: -1.9591761201075095, Distance Reached: 0.22
Episode 140 Start: (0.0, -0.0)
Episode 140 Reward: -1.9843687828859933, Distance Reached: 0.24
Episode 141 Start: (0.0, -0.0)
Episode 141 Reward: -2.165535072341875, Distance Reached: 0.14
Episode 142 Start: (0.0, -0.0)
Episode 142 Reward: -2.19976077575702, Distance Reached: 0.18
Episode 143 Start: (0.0, -0.0)
Episode 143 Reward: -0.7454617386353954, Distance Reached: 0.7
Episode 144 Start: (0.0, -0.0)
Episode 144 Reward: -2.4384430238038677, Distance Reached: 0.12
Episode 145 Start: (0.0, -0.0)
Episode 145 Reward: -0.6353347330783123, Distance Reached: 0.64
Episode 146 Start: (0.0, -0.0)
Episode 146 Reward: -2.262714826145429, Distance Reached: 0.04
Episode 147 Start: (0.0, -0.0)
Episode 147 Reward: -1.8970971488234185, Distance Reached: 0.23
Episode 148 Start: (0.0, -0.0)
Episode 148 Reward: -2.187401742148345, Distance Reached: 0.25
Episode 149 Start: (0.0, -0.0)
Episode 149 Reward: -2.5748827380653068, Distance Reached: 0.25
Episode 150 Start: (0.0, -0.0)
Episode 150 Reward: -1.043246316540895, Distance Reached: 0.73
